VIN, IOUT, IIN, VOUT, AV
-6.7, 0, -0.0001188, -0.07632, 2.0429999999999984
-6.68, 0, -0.00011782000000000001, -0.0372, 1.9929999999999981
-6.66, 0, -0.00011684000000000001, 0.0034, 2.0300000000000433
-6.6400000000000006, 0, -0.00011588000000000001, 0.044, 2.0579999999999981
-6.62, 0, -0.00011488000000000001, 0.085719999999999991, 2.041999999999998
-6.6000000000000005, 0, -0.00011394000000000001, 0.12568, 2.1129999999999982
-6.58, 0, -0.00011292000000000001, 0.17024, 2.1859999999999986
-6.5600000000000005, 0, -0.00011194, 0.21312, 2.0729999999999982
-6.54, 0, -0.00011096000000000001, 0.25316, 1.9759999999999975
-6.5200000000000005, 0, -0.00011, 0.29216, 1.9539999999999984
-6.5, 0, -0.00010906, 0.33132, 1.9829999999999983
-6.48, 0, -0.00010808000000000001, 0.37148, 2.0569999999999973
-6.46, 0, -0.00010712, 0.41359999999999997, 2.1259999999999981
-6.44, 0, -0.00010618, 0.45652, 2.1459999999999986
-6.42, 0, -0.00010522000000000001, 0.49944, 2.014999999999997
-6.4, 0, -0.00010428000000000001, 0.53711999999999993, 1.8989999999999989
-6.38, 0, -0.00010332000000000001, 0.5754, 1.9670000000000003
-6.36, 0, -0.00010240000000000001, 0.6158, 2.0189999999999966
-6.34, 0, -0.00010146000000000001, 0.65616, 2.0749999999999971
-6.32, 0, -0.00010052, 0.6988, 2.1429999999999985
-6.3, 0, -9.9596E-05, 0.74188, 2.0069999999999988
-6.28, 0, -9.8674E-05, 0.77908, 1.9689999999999968
-6.26, 0, -9.7756E-05, 0.82063999999999993, 2.1159999999999966
-6.24, 0, -9.6834E-05, 0.86371999999999993, 2.0269999999999992
-6.22, 0, -9.5922000000000008E-05, 0.90172, 1.9699999999999978
-6.2, 0, -9.5012E-05, 0.94251999999999991, 2.0959999999999988
-6.18, 0, -9.4102E-05, 0.98556, 2.0659999999999967
-6.16, 0, -9.3198E-05, 1.0251599999999999, 1.9360000000000401
-6.1400000000000006, 0, -9.2304E-05, 1.063, 1.9850000000000017
-6.12, 0, -9.1404000000000008E-05, 1.10456, 1.996999999999997
-6.1000000000000005, 0, -9.0514000000000008E-05, 1.14288, 1.9539999999999984
-6.08, 0, -8.9598E-05, 1.18272, 1.9159999999999993
-6.0600000000000005, 0, -8.8708E-05, 1.21952, 2.021999999999994
-6.04, 0, -8.7834E-05, 1.2635999999999998, 2.0730000000000008
-6.0200000000000005, 0, -8.6964E-05, 1.30244, 2.0070000000000014
-6, 0, -8.6096E-05, 1.34388, 1.9919999999999976
-5.98, 0, -8.5230000000000009E-05, 1.38212, 1.9559999999999949
-5.96, 0, -8.4364000000000007E-05, 1.4221199999999998, 1.948999999999999
-5.94, 0, -8.3516E-05, 1.46008, 1.9190000000000023
-5.92, 0, -8.267E-05, 1.49888, 1.9399999999999955
-5.9, 0, -8.1822E-05, 1.53768, 1.9899999999999956
-5.88, 0, -8.0988E-05, 1.5784799999999999, 1.9519999999999964
-5.86, 0, -8.0104E-05, 1.6157599999999999, 1.9130000000000018
-5.84, 0, -7.9272000000000009E-05, 1.655, 1.9740000000000018
-5.82, 0, -7.8446E-05, 1.69472, 1.9239999999999962
-5.8, 0, -7.7614E-05, 1.73196, 1.883999999999995
-5.78, 0, -7.6798E-05, 1.7700799999999999, 1.9109999999999998
-5.76, 0, -7.5982E-05, 1.8084, 1.8719999999999999
-5.74, 0, -7.5184E-05, 1.84496, 1.7849999999999962
-5.72, 0, -7.4372E-05, 1.8798, 1.795999999999996
-5.7, 0, -7.3574E-05, 1.9167999999999998, 1.9209999999999987
-5.68, 0, -7.2782000000000009E-05, 1.95664, 2.0089999999999977
-5.66, 0, -7.2E-05, 1.9971599999999998, 1.9879999999999936
-5.64, 0, -7.1174E-05, 2.0361599999999997, 1.9089999999999978
-5.62, 0, -7.0396000000000008E-05, 2.07352, 1.763000000000041
