VDD, VB1, VB2
8, -12, 0
VIN, VOUT, AV
-4.0600000000000005, 2.3513, 1.694999999999997
-4, 2.4529, 1.668333333333327
-3.94, 2.5515000000000003, 1.6449999999999987
-3.88, 2.6503, 1.6466666666666714
-3.8200000000000003, 2.7491000000000003, 1.6416666666666717
-3.7600000000000002, 2.8473, 1.6341666666666648
-3.7, 2.9452000000000003, 1.6291666666666653
-3.64, 3.0428, 1.6299999999999966
-3.58, 3.1408, 1.6408333333333343
-3.52, 3.2397000000000005, 1.609999999999999
-3.46, 3.334, 1.5974999999999984
-3.4, 3.4314000000000004, 1.615000000000002
-3.34, 3.5278000000000005, 1.5833333333333373
-3.2800000000000002, 3.6214000000000004, 1.5483333333333373
-3.22, 3.7136000000000005, 1.5741666666666641
-3.16, 3.8103000000000002, 1.578333333333332
-3.1, 3.9030000000000005, 1.5383333333333329
-3.04, 3.9949000000000003, 1.5716666666666661
-2.98, 4.0916000000000006, 1.5749999999999991
-2.92, 4.1839, 1.5116666666666654
-2.86, 4.2730000000000006, 1.508333333333338
-2.8000000000000003, 4.3649000000000004, 1.5308333333333375
-2.74, 4.4567000000000006, 1.5133333333333281
-2.68, 4.5465, 1.4999999999999962
-2.62, 4.6367, 1.4933333333333378
-2.56, 4.7257000000000007, 1.4649999999999965
-2.5, 4.8125, 1.4683333333333295
-2.44, 4.9019, 1.4625000000000024
-2.38, 4.988, 1.4566666666666679
-2.32, 5.0767000000000007, 1.476666666666671
-2.2600000000000002, 5.1652000000000005, 1.4433333333333338
-2.2, 5.2499, 1.4116666666666617
-2.14, 5.3346, 1.4008333333333314
-2.08, 5.418, 1.4416666666666658
-2.02, 5.5076, 1.43666666666667
-1.96, 5.5904000000000007, 1.3966666666666696
-1.9000000000000001, 5.6752, 1.4033333333333355
-1.84, 5.7588000000000008, 1.359999999999997
-1.78, 5.8384, 1.359999999999997
-1.72, 5.9220000000000006, 1.3800000000000048
-1.6600000000000001, 6.0040000000000004, 1.3200000000000038
-1.6, 6.0804000000000009, 1.2999999999999963
-1.54, 6.16, 1.3433333333333322
-1.48, 6.2416000000000009, 1.3133333333333355
-1.42, 6.3176000000000005, 1.3066666666666646
-1.36, 6.3984000000000005, 1.3366666666666687
-1.3, 6.4780000000000006, 1.2866666666666644
-1.24, 6.5528, 1.2633333333333336
-1.18, 6.6296000000000008, 1.2566666666666702
-1.12, 6.7036000000000007, 1.2366666666666648
-1.06, 6.7780000000000005, 1.1833333333333278
-1, 6.8456, 1.1866666666666692
-0.94000000000000006, 6.9204000000000008, 1.2300000000000053
-0.88, 6.9932000000000007, 1.169999999999997
-0.82000000000000006, 7.0608, 1.1066666666666634
-0.76, 7.126, 1.0966666666666718
-0.70000000000000007, 7.192400000000001, 1.1066666666666707
-0.64, 7.2588000000000008, 1.0599999999999934
-0.58, 7.3196, 1.0099999999999998
-0.52, 7.3800000000000008, 0.97666666666667057
-0.46, 7.4368000000000007, 0.959999999999998
-0.4, 7.4952000000000005, 0.93333333333333424
-0.34, 7.5488000000000008, 0.86333333333333451
-0.28, 7.5988000000000007, 0.81333333333333246
-0.22, 7.6464000000000008, 0.75333333333333163
-0.16, 7.6892000000000005, 0.67666666666666619
-0.1, 7.7276000000000007, 0.6466666666666695
-0.04, 7.7668000000000008, 0.58666666666666867
0.02, 7.7980000000000009, 0.50333333333332975
0.08, 7.8272, 0.46666666666666706
0.14, 7.854000000000001, 0.41666666666666513
0.2, 7.8772, 0.35666666666666441
0.26, 7.8968000000000007, 0.296666666666671
0.32, 7.9128000000000007, 0.25333333333333508
0.38, 7.9272000000000009, 0.216666666666665
0.44, 7.9388000000000005, 0.179999999999995
0.5, 7.9488, 0.14999999999999822
0.56, 7.9568, 0.11666666666666863
0.62, 7.9628000000000005, 0.10000000000000379
0.68, 7.9688000000000008, 0.0899999999999975
0.74, 7.9736, 0.066666666666666735
0.8, 7.9768000000000008, 0.053333333333334863
0.86, 7.98, 0.039999999999995595
0.92, 7.9816, 0.033333333333337066
0.98, 7.9840000000000009, 0.0300000000000041
1.04, 7.9852000000000007, 0.023333333333330743
1.1, 7.9868000000000006, 0.016666666666664848
1.16, 7.9872000000000005, 0.0099999999999989091
1.22, 7.988, 0.013333333333331853
1.28, 7.9888, 0.0066666666666659264
1.34, 7.9888, 0.0033333333333329632
1.4000000000000001, 7.9892, 0.0033333333333329693
1.46, 7.9892, 0.0066666666666659385
1.52, 7.99, 0.0066666666666659264
1.58, 7.99, 0
1.6400000000000001, 7.99, 0.0033333333333403709
1.7, 7.9904000000000011, 0
1.76, 7.99, 0
1.82, 7.9904000000000011, 0.0033333333333403648
1.8800000000000001, 7.9904000000000011, 0
1.94, 7.9904000000000011, 0
2, 7.9904000000000011, 0
