VG,IG,ID,absId,absIg
-6.2,-3.7509000000000005E-10,1.713E-05,1.713E-05,3.7509000000000005E-10
-6,-3.5771000000000005E-10,1.7968E-05,1.7968E-05,3.5771000000000005E-10
-5.8,-3.4078000000000004E-10,1.8808E-05,1.8808E-05,3.4078000000000004E-10
-5.6000000000000005,-3.2434000000000004E-10,1.9644E-05,1.9644E-05,3.2434000000000004E-10
-5.4,-3.0794E-10,2.0482E-05,2.0482E-05,3.0794E-10
-5.2,-2.9242E-10,2.1314E-05,2.1314E-05,2.9242E-10
-5,-2.7679000000000003E-10,2.2144E-05,2.2144E-05,2.7679000000000003E-10
-4.8,-2.6199000000000004E-10,2.2964000000000002E-05,2.2964000000000002E-05,2.6199000000000004E-10
-4.6000000000000005,-2.4733E-10,2.3782E-05,2.3782E-05,2.4733E-10
-4.4,-2.3327E-10,2.4598E-05,2.4598E-05,2.3327E-10
-4.2,-2.1941000000000002E-10,2.54E-05,2.54E-05,2.1941000000000002E-10
-4,-2.0617000000000002E-10,2.6198000000000002E-05,2.6198000000000002E-05,2.0617000000000002E-10
-14,-1.5392E-09,1.572E-09,1.572E-09,1.5392E-09
-13.8,-1.4997E-09,2.8193E-09,2.8193E-09,1.4997E-09
-13.6,-1.4587E-09,5.5813E-09,5.5813E-09,1.4587E-09
-13.4,-1.4178E-09,1.1122799999999999E-08,1.1122799999999999E-08,1.4178E-09
-13.200000000000001,-1.3786E-09,2.1947799999999998E-08,2.1947799999999998E-08,1.3786E-09
-13,-1.3394E-09,4.09502E-08,4.09502E-08,1.3394E-09
-12.8,-1.3027E-09,7.23476E-08,7.23476E-08,1.3027E-09
-12.6,-1.2649E-09,1.212E-07,1.212E-07,1.2649E-09
-12.4,-1.2292E-09,1.941E-07,1.941E-07,1.2292E-09
-12.200000000000001,-1.1929E-09,2.972E-07,2.972E-07,1.1929E-09
-12,-1.1585E-09,4.3652E-07,4.3652E-07,1.1585E-09
-11.8,-1.1244E-09,6.1858E-07,6.1858E-07,1.1244E-09
-11.6,-1.0899E-09,8.4856E-07,8.4856E-07,1.0899E-09
-11.4,-1.0571E-09,1.1275000000000002E-06,1.1275000000000002E-06,1.0571E-09
-11.200000000000001,-1.0251E-09,1.4666E-06,1.4666E-06,1.0251E-09
-11,-9.9430000000000018E-10,1.853E-06,1.853E-06,9.9430000000000018E-10
-10.8,-9.6272000000000017E-10,2.3100000000000003E-06,2.3100000000000003E-06,9.6272000000000017E-10
-10.6,-9.3258E-10,2.8257000000000003E-06,2.8257000000000003E-06,9.3258E-10
-10.4,-9.0215E-10,3.4014E-06,3.4014E-06,9.0215E-10
-10.200000000000001,-8.7263000000000012E-10,4.0353E-06,4.0353E-06,8.7263000000000012E-10
-10,-8.4367E-10,4.7253E-06,4.7253E-06,8.4367E-10
-9.8,-8.1523000000000009E-10,5.4708E-06,5.4708E-06,8.1523000000000009E-10
-9.6,-7.8771000000000006E-10,6.2662E-06,6.2662E-06,7.8771000000000006E-10
-9.4,-7.6070000000000007E-10,7.1150000000000005E-06,7.1150000000000005E-06,7.6070000000000007E-10
-9.2000000000000011,-7.345000000000001E-10,8.0121E-06,8.0121E-06,7.345000000000001E-10
-9,-7.0801E-10,8.9528E-06,8.9528E-06,7.0801E-10
-8.8,-6.8303000000000007E-10,9.9355000000000017E-06,9.9355000000000017E-06,6.8303000000000007E-10
-8.6,-6.5835E-10,1.0950800000000002E-05,1.0950800000000002E-05,6.5835E-10
-8.4,-6.3384000000000006E-10,1.2006E-05,1.2006E-05,6.3384000000000006E-10
-8.2,-6.0997E-10,1.3094E-05,1.3094E-05,6.0997E-10
-8,-5.8645000000000008E-10,1.4214E-05,1.4214E-05,5.8645000000000008E-10
-7.8,-5.6390000000000009E-10,1.535E-05,1.535E-05,5.6390000000000009E-10
-7.6000000000000005,-5.4228E-10,1.6516E-05,1.6516E-05,5.4228E-10
-7.4,-5.2009E-10,1.7702E-05,1.7702E-05,5.2009E-10
-7.2,-4.9946E-10,1.8900000000000002E-05,1.8900000000000002E-05,4.9946E-10
-7,-4.7835E-10,2.012E-05,2.012E-05,4.7835E-10
-6.8,-4.5857000000000005E-10,2.1348E-05,2.1348E-05,4.5857000000000005E-10
-6.6000000000000005,-4.3842E-10,2.2590000000000002E-05,2.2590000000000002E-05,4.3842E-10
-6.4,-4.1957000000000003E-10,2.3834000000000003E-05,2.3834000000000003E-05,4.1957000000000003E-10
-6.2,-4.0022000000000004E-10,2.5086E-05,2.5086E-05,4.0022000000000004E-10
-6,-3.8176000000000003E-10,2.6342E-05,2.6342E-05,3.8176000000000003E-10
-5.8,-3.6451E-10,2.7596E-05,2.7596E-05,3.6451E-10
-5.6000000000000005,-3.4668000000000004E-10,2.8854000000000002E-05,2.8854000000000002E-05,3.4668000000000004E-10
-5.4,-3.2996E-10,3.0108E-05,3.0108E-05,3.2996E-10
-5.2,-3.1305E-10,3.1358E-05,3.1358E-05,3.1305E-10
-5,-2.9681000000000003E-10,3.2602000000000004E-05,3.2602000000000004E-05,2.9681000000000003E-10
-4.8,-2.8129E-10,3.3838000000000004E-05,3.3838000000000004E-05,2.8129E-10
-4.6000000000000005,-2.6602000000000003E-10,3.507E-05,3.507E-05,2.6602000000000003E-10
-4.4,-2.5071E-10,3.629E-05,3.629E-05,2.5071E-10
-4.2,-2.363E-10,3.7504E-05,3.7504E-05,2.363E-10
-4,-2.2266E-10,3.8708E-05,3.8708E-05,2.2266E-10
-14,-1.6213E-09,1.7205E-09,1.7205E-09,1.6213E-09
-13.8,-1.5815E-09,3.0891E-09,3.0891E-09,1.5815E-09
-13.6,-1.539E-09,6.1473E-09,6.1473E-09,1.539E-09
-13.4,-1.4985E-09,1.20934E-08,1.20934E-08,1.4985E-09
-13.200000000000001,-1.4566E-09,2.4253999999999997E-08,2.4253999999999997E-08,1.4566E-09
-13,-1.417E-09,4.5699999999999992E-08,4.5699999999999992E-08,1.417E-09
-12.8,-1.3777E-09,8.12998E-08,8.12998E-08,1.3777E-09
